"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","wearable eye protection items","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","dust wiping bulk options","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","metal engravings","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","Cabide calça","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","what types of screw headers do you have?","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","any wooden parts for hole fitting?","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","What types of sanding options do we have?","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","bathroom cloth hangers","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","Automatic closing hinges","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","wooden floor sheets","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","portable table stands","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","Solid surface kitchen sinks","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","liquor Racks","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","Rust proof slides for a coastal outdoor kitchen","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","classical metal items","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","Do you have used clothes for wiping dust?","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","corion sinks","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","wheels for office chairs","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","something to protect items from dust","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","kitchen item hangers","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","space saving table stands","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","kitchen taps","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","bathroom taps","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","Wax melting tools","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","hidden door hinges for cabinets (hardware for a secret bookshelf door)","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","beverages","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","any mesh containers for home organizing?","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","Non-conductive fasteners for electrical panels","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","What types of cabinet openers do you have?","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","wooden engravings","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","rubbish containers","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","Show me grass cutting blade types","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","decorative table stands","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","High-strength bonding for heavy vibrating machinery","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","cabinet and furniture damage protectors","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","wearable face protections","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","any wooden parts for hole covering?","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","fruits and vegetable related items","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","papers for wipe body","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
"","1","wooden floor panels","","2026-04-08","passed","2026-04-08","Query Precision and Recall","Semantic Query Automation","",""
